    PID USER     COMMAND         %CPU %MEM     ELAPSED CMD
     94 root     kauditd          0.0  0.0    06:19:57 [kauditd]
     95 root     khungtaskd       0.0  0.0    06:19:57 [khungtaskd]
     97 root     oom_reaper       0.0  0.0    06:19:57 [oom_reaper]
     98 root     kworker/R-write  0.0  0.0    06:19:57 [kworker/R-writeback]
     99 root     kcompactd0       0.0  0.0    06:19:57 [kcompactd0]
    100 root     ksmd             0.0  0.0    06:19:57 [ksmd]
    101 root     khugepaged       0.0  0.0    06:19:57 [khugepaged]
    102 root     kworker/R-kbloc  0.0  0.0    06:19:57 [kworker/R-kblockd]
    103 root     kworker/R-blkcg  0.0  0.0    06:19:57 [kworker/R-blkcg_punt_bio]
    104 root     kworker/R-kinte  0.0  0.0    06:19:57 [kworker/R-kintegrityd]
    105 root     irq/9-acpi       0.0  0.0    06:19:57 [irq/9-acpi]
    108 root     kworker/R-tpm_d  0.0  0.0    06:19:57 [kworker/R-tpm_dev_wq]
    109 root     kworker/R-ata_s  0.0  0.0    06:19:57 [kworker/R-ata_sff]
    110 root     kworker/R-edac-  0.0  0.0    06:19:57 [kworker/R-edac-poller]
    111 root     kworker/R-devfr  0.0  0.0    06:19:57 [kworker/R-devfreq_wq]
    112 root     watchdogd        0.0  0.0    06:19:57 [watchdogd]
    113 root     kworker/7:1H-kb  0.0  0.0    06:19:57 [kworker/7:1H-kblockd]
    114 root     irq/25-AMD-Vi0-  0.0  0.0    06:19:57 [irq/25-AMD-Vi0-Evt]
    115 root     irq/26-AMD-Vi0-  0.0  0.0    06:19:57 [irq/26-AMD-Vi0-PPR]
    116 root     irq/27-AMD-Vi0-  0.0  0.0    06:19:57 [irq/27-AMD-Vi0-GA]
    117 root     kswapd0          0.0  0.0    06:19:57 [kswapd0]
    118 root     kworker/R-kthro  0.0  0.0    06:19:57 [kworker/R-kthrotld]
    120 root     kworker/R-acpi_  0.0  0.0    06:19:57 [kworker/R-acpi_thermal_pm]
    122 root     scsi_eh_0        0.0  0.0    06:19:57 [scsi_eh_0]
    123 root     kworker/R-scsi_  0.0  0.0    06:19:57 [kworker/R-scsi_tmf_0]
    124 root     scsi_eh_1        0.0  0.0    06:19:57 [scsi_eh_1]
    125 root     kworker/R-scsi_  0.0  0.0    06:19:57 [kworker/R-scsi_tmf_1]
    126 root     scsi_eh_2        0.0  0.0    06:19:57 [scsi_eh_2]
    127 root     kworker/R-scsi_  0.0  0.0    06:19:57 [kworker/R-scsi_tmf_2]
    128 root     scsi_eh_3        0.0  0.0    06:19:57 [scsi_eh_3]
    129 root     kworker/R-scsi_  0.0  0.0    06:19:57 [kworker/R-scsi_tmf_3]
    130 root     scsi_eh_4        0.0  0.0    06:19:57 [scsi_eh_4]
    131 root     kworker/R-scsi_  0.0  0.0    06:19:57 [kworker/R-scsi_tmf_4]
    132 root     scsi_eh_5        0.0  0.0    06:19:57 [scsi_eh_5]
    133 root     kworker/R-scsi_  0.0  0.0    06:19:57 [kworker/R-scsi_tmf_5]
    139 root     kworker/R-mld    0.0  0.0    06:19:57 [kworker/R-mld]
    140 root     kworker/R-ipv6_  0.0  0.0    06:19:57 [kworker/R-ipv6_addrconf]
    142 root     kworker/9:1H-kb  0.0  0.0    06:19:57 [kworker/9:1H-kblockd]
    148 root     kworker/R-kstrp  0.0  0.0    06:19:57 [kworker/R-kstrp]
    156 root     kworker/0:1H-kb  0.0  0.0    06:19:57 [kworker/0:1H-kblockd]
    198 root     kworker/4:1H-kb  0.0  0.0    06:19:55 [kworker/4:1H-kblockd]
    204 root     kworker/2:1H-kb  0.0  0.0    06:19:55 [kworker/2:1H-kblockd]
    240 root     kworker/10:1H-k  0.0  0.0    06:19:55 [kworker/10:1H-kblockd]
    241 root     kworker/11:1H-k  0.0  0.0    06:19:55 [kworker/11:1H-kblockd]
    242 root     kworker/1:1H-kb  0.0  0.0    06:19:55 [kworker/1:1H-kblockd]
    244 root     kworker/3:1H-kb  0.0  0.0    06:19:55 [kworker/3:1H-kblockd]
    245 root     kworker/6:1H-kb  0.0  0.0    06:19:55 [kworker/6:1H-kblockd]
    246 root     kworker/8:1H-kb  0.0  0.0    06:19:55 [kworker/8:1H-kblockd]
    248 root     kworker/5:1H-kb  0.0  0.0    06:19:55 [kworker/5:1H-kblockd]
    253 root     kworker/R-crypt  0.0  0.0    06:19:55 [kworker/R-cryptd]
    254 root     kworker/R-nvme-  0.0  0.0    06:19:55 [kworker/R-nvme-wq]
    255 root     kworker/R-nvme-  0.0  0.0    06:19:55 [kworker/R-nvme-reset-wq]
    256 root     kworker/R-nvme-  0.0  0.0    06:19:55 [kworker/R-nvme-delete-wq]
    257 root     kworker/R-nvme-  0.0  0.0    06:19:55 [kworker/R-nvme-auth-wq]
   1295 root     kworker/R-kdmfl  0.0  0.0    06:17:59 [kworker/R-kdmflush/253:0]
   1299 root     kworker/R-kcryp  0.0  0.0    06:17:59 [kworker/R-kcryptd_io-253:0-1]
   1300 root     kworker/R-kcryp  0.0  0.0    06:17:59 [kworker/R-kcryptd-253:0-1]
   1301 root     dmcrypt_write/2  0.0  0.0    06:17:59 [dmcrypt_write/253:0]
   1340 root     kworker/R-btrfs  0.0  0.0    06:17:59 [kworker/R-btrfs-worker]
   1341 root     kworker/R-btrfs  0.0  0.0    06:17:59 [kworker/R-btrfs-delalloc]
   1342 root     kworker/R-btrfs  0.0  0.0    06:17:59 [kworker/R-btrfs-flush_delalloc]
   1343 root     kworker/R-btrfs  0.0  0.0    06:17:59 [kworker/R-btrfs-cache]
   1344 root     kworker/R-btrfs  0.0  0.0    06:17:59 [kworker/R-btrfs-fixup]
   1345 root     kworker/R-btrfs  0.0  0.0    06:17:59 [kworker/R-btrfs-endio]
   1346 root     kworker/R-btrfs  0.0  0.0    06:17:59 [kworker/R-btrfs-endio-meta]
   1347 root     kworker/R-btrfs  0.0  0.0    06:17:59 [kworker/R-btrfs-rmw]
   1348 root     kworker/R-btrfs  0.0  0.0    06:17:59 [kworker/R-btrfs-endio-write]
   1349 root     kworker/R-btrfs  0.0  0.0    06:17:59 [kworker/R-btrfs-compressed-write]
   1350 root     kworker/R-btrfs  0.0  0.0    06:17:59 [kworker/R-btrfs-freespace-write]
   1351 root     kworker/R-btrfs  0.0  0.0    06:17:59 [kworker/R-btrfs-delayed-meta]
   1352 root     kworker/R-btrfs  0.0  0.0    06:17:59 [kworker/R-btrfs-qgroup-rescan]
   1353 root     btrfs-cleaner    0.0  0.0    06:17:59 [btrfs-cleaner]
   1354 root     btrfs-transacti  0.0  0.0    06:17:59 [btrfs-transaction]
   1396 root     psimon           0.0  0.0    06:17:58 [psimon]
   1407 root     systemd-journal  0.0  0.2    06:17:58 /usr/lib/systemd/systemd-journald
   1423 root     systemd-userdbd  0.0  0.0    06:17:58 /usr/lib/systemd/systemd-userdbd
   1424 root     kworker/R-iprt-  0.0  0.0    06:17:58 [kworker/R-iprt-VBoxWQueue]
   1425 root     iprt-VBoxTscThr  0.0  0.0    06:17:58 [iprt-VBoxTscThread]
   1429 root     psimon           0.0  0.0    06:17:58 [psimon]
   1456 systemd+ systemd-timesyn  0.0  0.0    06:17:58 /usr/lib/systemd/systemd-timesyncd
   1461 root     systemd-udevd    0.0  0.0    06:17:58 /usr/lib/systemd/systemd-udevd
   1465 root     psimon           0.0  0.0    06:17:58 [psimon]
   1627 root     kworker/R-cfg80  0.0  0.0    06:17:58 [kworker/R-cfg80211]
   1674 root     napi/phy0-0      0.0  0.0    06:17:58 [napi/phy0-0]
   1675 root     napi/phy0-0      0.0  0.0    06:17:58 [napi/phy0-0]
   1676 root     napi/phy0-0      0.0  0.0    06:17:58 [napi/phy0-0]
   1847 root     mt76-tx phy0     0.0  0.0    06:17:56 [mt76-tx phy0]
   1850 root     kworker/R-amdgp  0.0  0.0    06:17:56 [kworker/R-amdgpu-reset-dev]
   1851 root     kworker/R-ttm    0.0  0.0    06:17:56 [kworker/R-ttm]
   1852 root     kworker/R-kdmfl  0.0  0.0    06:17:56 [kworker/R-kdmflush/253:1]
   1853 root     kworker/R-kcryp  0.0  0.0    06:17:56 [kworker/R-kcryptd_io-253:1-2]
   1854 root     kworker/R-kcryp  0.0  0.0    06:17:56 [kworker/R-kcryptd-253:1-2]
   1855 root     dmcrypt_write/2  0.0  0.0    06:17:56 [dmcrypt_write/253:1]
   1861 root     kworker/R-btrfs  0.0  0.0    06:17:56 [kworker/R-btrfs-worker]
   1862 root     kworker/R-btrfs  0.0  0.0    06:17:56 [kworker/R-btrfs-delalloc]
   1863 root     kworker/R-btrfs  0.0  0.0    06:17:56 [kworker/R-btrfs-flush_delalloc]
   1864 root     kworker/R-btrfs  0.0  0.0    06:17:56 [kworker/R-btrfs-cache]
   1865 root     kworker/R-btrfs  0.0  0.0    06:17:56 [kworker/R-btrfs-fixup]
   1866 root     kworker/R-btrfs  0.0  0.0    06:17:56 [kworker/R-btrfs-endio]
   1867 root     kworker/R-btrfs  0.0  0.0    06:17:56 [kworker/R-btrfs-endio-meta]
   1868 root     kworker/R-btrfs  0.0  0.0    06:17:56 [kworker/R-btrfs-rmw]
   1869 root     kworker/R-btrfs  0.0  0.0    06:17:56 [kworker/R-btrfs-endio-write]
   1870 root     kworker/R-btrfs  0.0  0.0    06:17:56 [kworker/R-btrfs-compressed-write]
   1871 root     kworker/R-btrfs  0.0  0.0    06:17:56 [kworker/R-btrfs-freespace-write]
   1872 root     kworker/R-btrfs  0.0  0.0    06:17:56 [kworker/R-btrfs-delayed-meta]
   1873 root     kworker/R-btrfs  0.0  0.0    06:17:56 [kworker/R-btrfs-qgroup-rescan]
   1874 root     kworker/R-amdgp  0.0  0.0    06:17:55 [kworker/R-amdgpu_dm_hpd_rx_offload_wq]
   1875 root     kworker/R-amdgp  0.0  0.0    06:17:55 [kworker/R-amdgpu_dm_hpd_rx_offload_wq]
   1876 root     kworker/R-amdgp  0.0  0.0    06:17:55 [kworker/R-amdgpu_dm_hpd_rx_offload_wq]
   1877 root     kworker/R-dm_vb  0.0  0.0    06:17:55 [kworker/R-dm_vblank_control_workqueue]
   1878 root     card1-crtc0      0.0  0.0    06:17:55 [card1-crtc0]
   1879 root     card1-crtc1      0.0  0.0    06:17:55 [card1-crtc1]
   1880 root     card1-crtc2      0.0  0.0    06:17:55 [card1-crtc2]
   1881 root     card1-crtc3      0.0  0.0    06:17:55 [card1-crtc3]
   1882 root     kworker/R-gfx    0.0  0.0    06:17:55 [kworker/R-gfx]
   1883 root     kworker/R-comp_  0.0  0.0    06:17:55 [kworker/R-comp_1.0.0]
   1884 root     kworker/R-comp_  0.0  0.0    06:17:55 [kworker/R-comp_1.1.0]
   1885 root     kworker/R-comp_  0.0  0.0    06:17:55 [kworker/R-comp_1.2.0]
   1886 root     kworker/R-comp_  0.0  0.0    06:17:55 [kworker/R-comp_1.3.0]
   1887 root     kworker/R-comp_  0.0  0.0    06:17:55 [kworker/R-comp_1.0.1]
   1888 root     kworker/R-comp_  0.0  0.0    06:17:55 [kworker/R-comp_1.1.1]
   1889 root     kworker/R-comp_  0.0  0.0    06:17:55 [kworker/R-comp_1.2.1]
   1890 root     kworker/R-comp_  0.0  0.0    06:17:55 [kworker/R-comp_1.3.1]
   1891 root     kworker/R-sdma0  0.0  0.0    06:17:55 [kworker/R-sdma0]
   1892 root     kworker/R-vcn_d  0.0  0.0    06:17:55 [kworker/R-vcn_dec]
   1893 root     kworker/R-vcn_e  0.0  0.0    06:17:55 [kworker/R-vcn_enc0]
   1894 root     kworker/R-vcn_e  0.0  0.0    06:17:55 [kworker/R-vcn_enc1]
   1895 root     kworker/R-jpeg_  0.0  0.0    06:17:55 [kworker/R-jpeg_dec]
   1896 root     btrfs-cleaner    0.0  0.0    06:17:55 [btrfs-cleaner]
   1897 root     btrfs-transacti  0.1  0.0    06:17:55 [btrfs-transaction]
   1909 root     auditd           0.0  0.0    06:17:55 /usr/bin/auditd
   1943 dbus     dbus-broker-lau  0.0  0.0    06:17:54 /usr/bin/dbus-broker-launch --scope system --audit
   1944 dbus     dbus-broker      0.0  0.0    06:17:54 dbus-broker --log 10 --controller 9 --machine-id f59c584bc7964b128ddd05815408fcaf --max-bytes 536870912 --max-fds 4096 --max-matches 131072 --audit
   1947 root     bluetoothd       0.0  0.0    06:17:54 /usr/lib/bluetooth/bluetoothd --compat
   1948 root     ckb-next-daemon  0.0  0.0    06:17:54 /usr/bin/ckb-next-daemon
   1950 rtkit    rtkit-daemon     0.0  0.0    06:17:54 /usr/lib/rtkit-daemon
   1953 root     systemd-logind   0.0  0.0    06:17:54 /usr/lib/systemd/systemd-logind
   2040 root     NetworkManager   0.0  0.0    06:17:54 /usr/bin/NetworkManager --no-daemon
   2051 root     wpa_supplicant   0.0  0.0    06:17:53 /usr/bin/wpa_supplicant -u -s -O /run/wpa_supplicant
   2058 mssql    sqlservr         0.0  0.0    06:17:53 /opt/mssql/bin/sqlservr
   2061 root     fail2ban-server  0.0  0.5    06:17:53 /usr/bin/python /usr/bin/fail2ban-server -xf start
   2063 root     login            0.0  0.0    06:17:53 login -- andre
   2065 root     containerd       0.0  0.1    06:17:53 /usr/bin/containerd
   2099 mssql    sqlservr         0.7  4.5    06:17:53 /opt/mssql/bin/sqlservr
   2341 root     dockerd          0.0  0.2    06:17:51 /usr/bin/dockerd -H fd:// --containerd=/run/containerd/containerd.sock
   2342 root     nmbd             0.0  0.0    06:17:51 /usr/bin/nmbd --foreground --no-process-group
   2347 postgres postgres         0.0  0.1    06:17:51 /usr/bin/postgres -D /var/lib/postgres/data
   2375 root     smbd             0.0  0.0    06:17:51 /usr/bin/smbd --foreground --no-process-group
   2376 postgres postgres         0.0  0.0    06:17:51 postgres: checkpointer 
   2377 postgres postgres         0.0  0.0    06:17:51 postgres: background writer 
   2379 postgres postgres         0.0  0.0    06:17:51 postgres: walwriter 
   2380 postgres postgres         0.0  0.0    06:17:51 postgres: autovacuum launcher 
   2381 postgres postgres         0.0  0.0    06:17:51 postgres: logical replication launcher 
   2384 root     smbd-notifyd     0.0  0.0    06:17:51 smbd: notifyd 
   2385 root     smbd-cleanupd    0.0  0.0    06:17:51 smbd: cleanupd
   2663 andre    systemd          0.0  0.0    06:17:45 /usr/lib/systemd/systemd --user
   2665 andre    (sd-pam)         0.0  0.0    06:17:45 (sd-pam)
   2674 andre    dbus-broker-lau  0.0  0.0    06:17:45 /usr/bin/dbus-broker-launch --scope user
   2675 andre    dbus-broker      0.0  0.0    06:17:45 dbus-broker --log 11 --controller 10 --machine-id f59c584bc7964b128ddd05815408fcaf --max-bytes 100000000000000 --max-fds 25000000000000 --max-matches 5000000000
   2676 andre    pipewire         0.1  0.0    06:17:45 /usr/bin/pipewire
   2677 andre    wireplumber      0.0  0.0    06:17:45 /usr/bin/wireplumber
   2678 andre    pipewire-pulse   0.1  0.0    06:17:45 /usr/bin/pipewire-pulse
   2679 andre    zsh              0.0  0.0    06:17:45 -zsh
   2684 polkitd  polkitd          0.0  0.0    06:17:45 /usr/lib/polkit-1/polkitd --no-debug --log-level=notice
   2732 root     krfcommd         0.0  0.0    06:17:44 [krfcommd]
   3062 andre    startx           0.0  0.0    06:17:39 /bin/sh /usr/bin/startx
   3082 andre    xinit            0.0  0.0    06:17:39 xinit /home/andre/.xinitrc -- /etc/X11/xinit/xserverrc :0 vt1 -keeptty -auth /tmp/serverauth.1byqBKZgkS
   3083 andre    Xorg             9.3  0.3    06:17:39 /usr/lib/Xorg -nolisten tcp :0 vt1 -keeptty -auth /tmp/serverauth.1byqBKZgkS
   3097 andre    i3               0.0  0.1    06:17:37 i3
   3099 andre    nm-applet        0.0  0.1    06:17:36 nm-applet
   3109 andre    polybar          0.2  0.0    06:17:36 polybar example
   3110 andre    polybar          0.1  0.0    06:17:36 polybar matrix_bottom
   3112 andre    blueman-applet   0.0  0.2    06:17:36 /usr/bin/python /usr/bin/blueman-applet
   3114 andre    kdeconnectd      0.0  0.1    06:17:36 /usr/bin/kdeconnectd
   3115 andre    picom            1.6  0.0    06:17:36 picom
   3117 andre    ckb-next         0.1  0.2    06:17:36 /usr/bin/ckb-next --background
   3118 andre    easyeffects      0.0  0.2    06:17:36 easyeffects --gapplication-service
   3132 andre    matrixstream.sh  0.2  0.0    06:17:36 /bin/bash /home/andre/.config/polybar/scripts/matrixstream.sh
   3155 andre    at-spi-bus-laun  0.0  0.0    06:17:36 /usr/lib/at-spi-bus-launcher
   3167 andre    dbus-broker-lau  0.0  0.0    06:17:36 /usr/bin/dbus-broker-launch --config-file=/usr/share/defaults/at-spi2/accessibility.conf --scope user
   3174 andre    dbus-broker      0.0  0.0    06:17:36 dbus-broker --log 10 --controller 9 --machine-id f59c584bc7964b128ddd05815408fcaf --max-bytes 100000000000000 --max-fds 6400000 --max-matches 5000000000
   3180 andre    gvfsd            0.0  0.0    06:17:36 /usr/lib/gvfsd
   3190 andre    gvfsd-fuse       0.0  0.0    06:17:36 /usr/lib/gvfsd-fuse /run/user/1000/gvfs -f
   3200 andre    at-spi2-registr  0.0  0.0    06:17:36 /usr/lib/at-spi2-registryd --use-gnome-session
   3285 root     kworker/9:3-cgr  0.0  0.0    06:17:36 [kworker/9:3-cgroup_destroy]
   3290 andre    dconf-service    0.0  0.0    06:17:36 /usr/lib/dconf-service
   3292 andre    blueman-tray     0.0  0.2    06:17:36 /usr/bin/python /usr/bin/blueman-tray
